sample-id	biol_stat	geo_loc_name_country	geo_loc_name_country_continent	Host_Age	Host	library_name	samplename	host_sex	pathology
SRR23559465	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-25	AK-Deer-Sample:14-25	female	BR & LN POS
SRR23559466	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-13	AK-Deer-Sample:14-13	female	BR & LN POS
SRR23559467	CWD Pos	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-11	AK-Deer-Sample:14-11	female	
SRR23559468	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-78	AK-Deer-Sample:14-78	female	Neg
SRR23559469	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-361	AK-Deer-Sample:17-361	female	Neg
SRR23559470	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-359	AK-Deer-Sample:17-359	female	Neg
SRR23559471	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-358	AK-Deer-Sample:17-358	female	Neg
SRR23559472	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-357	AK-Deer-Sample:17-357	female	Neg
SRR23559473	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-356	AK-Deer-Sample:17-356	female	Neg
SRR23559474	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-355	AK-Deer-Sample:17-355	female	Neg
SRR23559475	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-354	AK-Deer-Sample:17-354	female	Neg
SRR23559476	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-347	AK-Deer-Sample:17-347	female	Neg
SRR23559477	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-346	AK-Deer-Sample:17-346	female	Neg
SRR23559478	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-343	AK-Deer-Sample:17-343	female	Neg
SRR23559479	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-289	AK-Deer-Sample:14-289	male	Neg
SRR23559480	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-341	AK-Deer-Sample:17-341	female	Neg
SRR23559481	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-340	AK-Deer-Sample:17-340	female	Neg
SRR23559482	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-339	AK-Deer-Sample:17-339	female	Neg
SRR23559483	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-335	AK-Deer-Sample:17-335	female	Neg
SRR23559484	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-333	AK-Deer-Sample:17-333	female	Neg
SRR23559485	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-326	AK-Deer-Sample:17-326	female	Neg
SRR23559486	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-322	AK-Deer-Sample:17-322	female	Neg
SRR23559487	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-321	AK-Deer-Sample:17-321	female	Neg
SRR23559488	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-303	AK-Deer-Sample:17-303	male	Neg
SRR23559489	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-302	AK-Deer-Sample:17-302	male	Neg
SRR23559490	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-281	AK-Deer-Sample:14-281	male	Neg
SRR23559491	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-298	AK-Deer-Sample:17-298	female	Neg
SRR23559492	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-297	AK-Deer-Sample:17-297	female	Neg
SRR23559493	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-294	AK-Deer-Sample:17-294	female	Neg
SRR23559494	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-172	AK-Deer-Sample:17-172	male	Neg
SRR23559495	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:17-170	AK-Deer-Sample:17-170	male	Neg
SRR23559496	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-243	AK-Deer-Sample:15-243	female	Neg
SRR23559497	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-241	AK-Deer-Sample:15-241	male	Neg
SRR23559498	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-240	AK-Deer-Sample:15-240	female	Neg
SRR23559499	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-239	AK-Deer-Sample:15-239	female	Neg
SRR23559500	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-237	AK-Deer-Sample:15-237	male	Neg
SRR23559501	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-143	AK-Deer-Sample:14-143	female	Neg
SRR23559502	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-236	AK-Deer-Sample:15-236	female	Neg
SRR23559503	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-235	AK-Deer-Sample:15-235	female	Neg
SRR23559504	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-234	AK-Deer-Sample:15-234		Neg
SRR23559505	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-233	AK-Deer-Sample:15-233	female	Neg
SRR23559506	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-227	AK-Deer-Sample:15-227	female	Neg
SRR23559507	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-225	AK-Deer-Sample:15-225	female	Neg
SRR23559508	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-223	AK-Deer-Sample:15-223	female	Neg
SRR23559509	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-219	AK-Deer-Sample:15-219	female	Neg
SRR23559510	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-218	AK-Deer-Sample:15-218	female	Neg
SRR23559511	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:15-217	AK-Deer-Sample:15-217	female	Neg
SRR23559512	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-120	AK-Deer-Sample:14-120	female	Neg
SRR23559513	CWD Neg	USA	North America	1-3 years	White-Tailed_Deer_Odocoileus virginianus	Deer-Feces:14-112	AK-Deer-Sample:14-112	female	Neg
